OrderID,CustomerID,StoreID,OrderDate
1,720,11,2026-06-03
2,3210,14,2026-07-10
3,7837,2,2025-01-17
4,4035,18,2026-05-05
5,5082,11,2025-08-21
6,1716,3,2025-07-18
7,5163,20,2025-08-12
8,8888,4,2025-10-15
9,9428,4,2025-09-03
10,2797,10,2026-02-18
11,1924,19,2025-03-09
12,5476,4,2025-12-13
13,3246,6,2026-04-22
14,9499,1,2026-03-13
15,1348,17,2026-02-11
16,6401,8,2026-05-09
17,947,20,2026-01-02
18,1955,8,2024-12-21
19,9405,19,2025-09-21
20,7120,15,2026-04-11
21,6198,10,2024-09-29
22,1222,6,2026-03-19
23,8513,4,2025-01-23
24,283,3,2024-10-16
25,4050,15,2024-09-04
26,2590,19,2026-03-10
27,8452,4,2024-11-19
28,4126,10,2025-06-14
29,1506,5,2025-07-12
30,6109,3,2025-09-22
31,318,18,2025-10-15
32,558,12,2025-07-18
33,7198,6,2025-11-11
34,5250,11,2026-02-09
35,7611,15,2026-01-22
36,4923,10,2026-02-17
37,9409,18,2024-08-10
38,6033,18,2024-09-14
39,9333,19,2025-07-09
40,6994,11,2025-06-19
41,7676,8,2026-05-22
42,5651,7,2026-03-30
43,1553,1,2025-10-29
44,260,14,2025-10-25
45,2308,4,2026-03-18
46,7198,7,2025-07-09
47,1282,7,2024-09-23
48,7242,6,2025-01-09
49,4712,9,2024-08-30
50,9724,10,2025-06-18
51,9635,3,2024-12-14
52,7137,13,2025-01-15
53,7230,16,2025-08-05
54,6013,15,2025-07-08
55,56,5,2025-07-15
56,4095,4,2026-06-29
57,5616,20,2025-07-01
58,5499,2,2025-08-23
59,4353,5,2026-06-16
60,9632,6,2025-02-26
61,6364,5,2025-11-02
62,8993,20,2026-01-05
63,6834,6,2026-05-19
64,5392,12,2025-05-12
65,2618,1,2025-06-24
66,659,12,2024-10-23
67,9043,12,2026-03-31
68,3299,16,2024-12-02
69,4669,3,2026-02-25
70,9772,1,2025-08-19
71,9442,15,2026-07-09
72,5574,2,2026-05-18
73,1903,17,2026-01-17
74,3543,7,2025-11-14
75,7532,5,2026-03-28
76,55,16,2024-08-17
77,1885,7,2026-06-18
78,4466,20,2026-04-24
79,5929,3,2026-01-28
80,5765,9,2025-09-04
81,4931,16,2025-07-20
82,2443,12,2026-03-06
83,3016,20,2026-03-18
84,2785,9,2024-10-31
85,2560,8,2025-03-10
86,3739,6,2025-07-11
87,9549,4,2025-10-01
88,179,14,2025-10-21
89,8776,18,2025-02-17
90,8642,3,2025-10-18
91,8055,16,2024-10-10
92,7964,11,2025-03-31
93,8187,8,2025-04-05
94,5092,10,2025-06-25
95,9108,7,2024-11-21
96,3096,1,2026-05-16
97,3023,7,2025-08-17
98,947,9,2025-08-30
99,9192,11,2026-06-13
100,699,16,2026-02-13
101,2634,7,2026-04-10
102,5042,18,2026-03-30
103,9311,18,2026-06-10
104,9791,4,2026-03-01
105,6516,3,2024-12-31
106,729,11,2024-07-31
107,3961,13,2025-07-29
108,9188,5,2025-08-18
109,6864,14,2026-03-18
110,1848,2,2025-07-06
111,1655,18,2025-10-30
112,309,16,2024-08-05
113,6458,13,2024-08-13
114,1258,4,2025-10-29
115,9376,2,2025-05-16
116,3834,9,2024-10-17
117,7859,16,2025-11-10
118,5351,10,2025-02-12
119,3361,14,2026-04-10
120,4057,16,2025-06-19
121,245,18,2026-02-01
122,5707,1,2025-06-11
123,754,4,2025-06-18
124,9126,2,2025-09-12
125,7038,18,2026-01-01
126,9352,11,2026-05-09
127,7035,9,2025-09-17
128,2749,1,2025-04-06
129,5872,17,2026-03-02
130,954,7,2026-07-09
131,1136,18,2025-06-30
132,1018,6,2025-02-01
133,7522,14,2024-10-19
134,7228,3,2024-10-14
135,429,18,2024-10-24
136,3233,19,2025-06-29
137,3867,9,2024-12-07
138,865,16,2025-10-17
139,5290,3,2025-05-25
140,3734,12,2026-03-30
141,7593,3,2025-05-04
142,4968,3,2025-01-01
143,4104,13,2025-04-02
144,4360,8,2025-11-23
145,1970,11,2026-02-13
146,5509,18,2025-04-14
147,5302,9,2026-07-06
148,268,15,2026-06-11
149,5646,1,2026-06-17
150,4820,6,2024-07-22
151,5633,19,2025-12-22
152,3796,8,2025-07-14
153,1105,7,2025-02-28
154,3434,3,2024-11-01
155,3100,14,2025-09-16
156,4620,20,2024-07-28
157,3607,19,2026-01-28
158,9531,11,2024-12-24
159,7082,4,2026-01-15
160,9014,20,2026-01-08
161,2904,7,2025-10-29
162,9030,20,2026-03-17
163,5283,11,2025-12-09
164,5083,2,2026-04-27
165,5799,5,2025-05-21
166,4570,14,2025-10-28
167,7115,15,2026-07-12
168,9121,20,2025-02-20
169,1515,9,2026-03-01
170,7387,3,2026-02-22
171,8810,6,2025-11-27
172,3472,15,2025-02-05
173,9700,5,2026-06-01
174,1905,7,2024-07-20
175,7540,5,2026-02-06
176,9172,17,2025-12-02
177,3327,19,2024-09-01
178,8891,3,2025-05-30
179,3725,19,2025-11-08
180,9770,8,2024-07-12
181,2828,4,2025-01-29
182,1951,16,2025-12-25
183,5176,19,2025-10-27
184,8412,1,2024-12-19
185,4634,7,2025-06-26
186,158,5,2025-06-19
187,5209,7,2025-02-21
188,1699,15,2025-11-11
189,9975,3,2025-07-24
190,608,4,2025-05-26
191,2558,18,2026-06-25
192,9161,13,2025-10-21
193,3566,9,2024-08-28
194,4867,8,2025-08-05
195,7443,6,2026-03-20
196,1893,4,2026-06-25
197,5791,13,2026-03-10
198,8457,10,2024-09-20
199,8545,3,2026-03-28
200,6176,7,2025-10-01
201,3804,5,2025-08-05
202,8481,3,2025-10-28
203,6730,4,2025-07-26
204,209,20,2024-12-21
205,2077,20,2025-05-02
206,3132,13,2025-10-10
207,993,1,2025-05-16
208,7231,4,2025-06-16
209,5534,18,2025-05-11
210,73,10,2026-06-06
211,647,19,2024-08-14
212,2806,9,2025-05-08
213,49,5,2024-12-20
214,3265,20,2024-10-19
215,4472,9,2024-09-10
216,8357,11,2025-05-27
217,5764,17,2026-05-23
218,4685,19,2024-11-24
219,8891,17,2024-09-30
220,9060,13,2025-04-10
221,5935,14,2026-02-10
222,3018,5,2025-11-23
223,9882,6,2025-07-24
224,8872,12,2025-07-09
225,3129,19,2024-10-02
226,2538,9,2024-08-21
227,904,13,2025-11-01
228,1935,8,2025-10-19
229,9651,7,2026-06-02
230,6810,20,2025-09-20
231,5468,4,2026-04-01
232,9610,14,2024-08-16
233,8553,6,2025-02-02
234,1953,20,2024-10-21
235,7063,11,2025-09-03
236,693,10,2026-03-09
237,3976,18,2025-06-12
238,4114,9,2024-12-13
239,4605,16,2025-10-14
240,7272,19,2025-04-07
241,7522,4,2024-09-08
242,5591,10,2024-08-29
243,2410,11,2025-08-19
244,4902,6,2024-10-11
245,4284,8,2024-08-06
246,3433,1,2024-12-31
247,8040,18,2025-12-27
248,9352,15,2026-06-06
249,6941,8,2025-04-03
250,3858,18,2025-01-06
251,9976,15,2025-06-19
252,5223,7,2026-02-26
253,6951,5,2026-01-21
254,7516,17,2026-04-09
255,7854,20,2025-01-17
256,4946,14,2025-11-16
257,6225,20,2025-12-20
258,9819,14,2025-08-03
259,8135,8,2024-09-13
260,136,1,2025-07-09
261,4080,9,2025-06-03
262,606,12,2025-10-22
263,9973,18,2024-09-15
264,1090,9,2026-05-10
265,1256,18,2026-04-20
266,3707,5,2025-01-27
267,8748,9,2025-05-31
268,2257,19,2024-10-30
269,4279,20,2026-01-28
270,1173,18,2026-05-17
271,5412,2,2025-05-22
272,2678,3,2026-03-10
273,6583,12,2025-11-08
274,2087,19,2025-08-05
275,2425,3,2026-04-06
276,8029,2,2025-04-05
277,9946,2,2025-02-15
278,7436,19,2025-08-25
279,7188,12,2025-12-05
280,2720,14,2026-02-27
281,9839,13,2024-11-06
282,8348,17,2025-02-08
283,524,18,2025-07-30
284,2619,3,2025-09-24
285,1761,11,2024-09-12
286,7436,18,2026-06-07
287,3039,8,2025-01-01
288,5305,4,2025-07-18
289,8911,15,2024-08-14
290,424,1,2024-10-07
291,2000,2,2024-07-28
292,2491,14,2026-04-06
293,6626,5,2025-05-02
294,4798,12,2025-12-25
295,8451,6,2025-02-05
296,1651,20,2024-09-15
297,6590,6,2024-07-27
298,6706,10,2024-09-03
299,5183,10,2026-01-15
300,962,14,2026-03-07
301,8551,9,2026-06-04
302,8645,4,2025-03-22
303,5672,5,2025-09-27
304,3226,1,2025-04-19
305,7343,19,2025-06-23
306,4729,3,2026-05-31
307,9117,20,2025-07-27
308,8399,13,2026-04-03
309,4129,13,2026-05-16
310,868,20,2025-03-18
311,8950,13,2024-10-06
312,8494,20,2026-03-27
313,6415,12,2026-04-16
314,4980,7,2024-12-20
315,3549,12,2025-05-16
316,3905,16,2025-01-22
317,9513,15,2025-08-19
318,5142,8,2024-09-24
319,9050,20,2026-06-11
320,5352,3,2025-08-16
321,1472,15,2024-07-30
322,9588,4,2024-10-20
323,9449,10,2026-06-06
324,2154,19,2025-03-16
325,6902,16,2026-05-19
326,319,11,2025-12-13
327,8075,5,2024-11-08
328,2099,16,2026-06-03
329,5798,12,2026-06-24
330,9059,2,2025-03-02
331,1526,9,2025-05-20
332,4609,9,2025-03-16
333,3219,5,2025-03-16
334,8321,7,2025-08-24
335,5757,16,2024-09-28
336,2737,1,2024-09-03
337,7170,5,2025-04-11
338,9993,5,2024-12-21
339,2645,3,2025-08-16
340,8149,13,2025-03-29
341,4999,3,2025-04-12
342,3400,9,2026-05-01
343,2645,19,2024-08-09
344,2928,2,2024-08-21
345,6359,19,2025-08-09
346,4597,1,2024-09-28
347,7677,1,2025-12-13
348,6628,15,2025-09-15
349,7960,20,2025-11-15
350,9390,10,2025-05-21
351,6176,12,2025-06-25
352,9161,1,2024-11-21
353,3980,13,2024-08-10
354,8183,7,2024-10-28
355,2884,15,2025-04-29
356,1962,16,2025-04-10
357,6584,7,2024-10-05
358,7218,19,2026-02-02
359,9203,13,2024-08-29
360,2109,20,2026-04-06
361,4618,6,2025-07-06
362,7606,15,2025-06-24
363,9449,11,2025-11-21
364,1269,5,2025-07-21
365,2216,11,2025-04-28
366,706,1,2025-05-02
367,3803,20,2025-04-14
368,2917,1,2025-05-07
369,1298,9,2026-02-15
370,3608,4,2024-12-20
371,2073,3,2025-01-07
372,439,3,2025-09-01
373,1878,4,2024-08-25
374,4999,19,2025-08-10
375,7117,1,2025-11-21
376,3539,5,2025-04-01
377,2024,3,2026-05-23
378,3352,11,2026-02-03
379,1052,2,2025-05-28
380,1166,17,2025-06-12
381,3928,1,2025-01-26
382,5243,17,2026-07-12
383,6865,6,2025-06-18
384,3229,19,2024-11-24
385,4726,12,2025-10-28
386,918,11,2025-02-24
387,6128,18,2025-08-05
388,7572,2,2024-10-21
389,8285,16,2025-01-12
390,2355,6,2026-05-09
391,292,15,2026-06-11
392,581,1,2026-02-02
393,4815,11,2025-05-18
394,1434,15,2025-12-26
395,1595,5,2025-12-07
396,8830,12,2025-04-06
397,7365,11,2025-07-12
398,4573,16,2026-07-07
399,2208,7,2026-03-22
400,1848,20,2025-01-16
401,4167,14,2025-02-14
402,8156,1,2025-02-14
403,8570,2,2026-02-03
404,3140,17,2026-04-29
405,4594,8,2024-09-26
406,6021,4,2026-03-29
407,3265,17,2026-03-02
408,2562,7,2025-03-11
409,428,19,2026-04-04
410,2116,9,2025-02-11
411,1486,17,2026-02-19
412,9017,13,2025-09-25
413,6447,12,2026-07-04
414,655,14,2025-10-13
415,236,13,2024-08-28
416,3137,13,2024-10-11
417,5101,8,2026-03-14
418,7266,6,2026-06-03
419,2043,11,2025-03-30
420,9775,2,2026-02-18
421,9418,5,2024-09-28
422,7995,14,2026-01-11
423,1721,12,2024-09-16
424,2454,1,2024-12-03
425,6730,12,2025-09-28
426,6310,3,2025-03-28
427,2561,11,2025-07-05
428,3559,9,2024-11-12
429,165,19,2025-02-17
430,9886,16,2025-09-18
431,3566,13,2025-05-03
432,4255,20,2026-02-10
433,1018,6,2025-11-18
434,8353,7,2025-07-19
435,1032,10,2024-09-28
436,625,5,2025-12-09
437,7932,20,2025-06-17
438,9051,7,2025-05-13
439,8483,9,2024-12-15
440,2047,16,2025-11-30
441,2562,5,2024-11-18
442,7930,19,2024-11-16
443,3424,5,2025-02-17
444,7934,16,2024-09-25
445,8761,17,2024-09-10
446,3009,3,2024-08-09
447,695,1,2024-08-17
448,5757,12,2025-11-08
449,2542,1,2025-01-04
450,9838,13,2025-12-09
451,6730,8,2024-08-08
452,3045,16,2025-07-27
453,8150,3,2025-05-30
454,156,9,2026-05-24
455,4104,13,2025-08-08
456,9924,15,2024-07-18
457,3295,4,2024-11-25
458,4973,13,2026-05-23
459,4381,8,2025-08-19
460,8156,18,2025-11-14
461,1762,2,2026-01-19
462,2631,5,2024-12-25
463,8265,1,2025-08-29
464,1050,13,2026-01-19
465,3127,14,2024-09-08
466,1664,3,2026-01-06
467,2192,16,2025-11-21
468,5775,11,2025-04-24
469,2771,3,2024-09-27
470,3319,1,2025-04-28
471,8604,2,2026-06-28
472,222,1,2025-01-29
473,791,11,2025-02-26
474,4952,15,2026-04-25
475,8811,6,2024-08-09
476,9333,8,2025-07-02
477,3921,16,2025-01-07
478,3236,13,2026-05-06
479,1595,14,2026-05-13
480,707,5,2025-04-20
481,6465,9,2026-06-09
482,4453,17,2025-11-07
483,654,8,2026-06-12
484,5585,1,2026-01-20
485,3613,10,2024-12-03
486,7607,20,2025-07-15
487,3526,13,2024-09-19
488,9887,9,2025-03-17
489,8278,6,2025-06-29
490,7263,7,2024-09-07
491,7869,4,2025-12-31
492,8627,2,2025-10-29
493,781,6,2025-01-03
494,3982,12,2026-01-15
495,7455,18,2025-11-07
496,9833,12,2026-01-27
497,6464,5,2025-01-13
498,7722,18,2025-11-11
499,7083,11,2025-03-29
500,3773,14,2025-12-25
501,5720,3,2025-10-06
502,2119,18,2026-01-13
503,5257,5,2025-01-16
504,60,15,2024-10-07
505,803,7,2025-12-23
506,3755,8,2025-07-07
507,7938,17,2024-08-17
508,8476,9,2025-04-08
509,8711,3,2025-08-31
510,1796,17,2024-11-26
511,1818,12,2024-07-16
512,2558,14,2025-08-11
513,5393,1,2025-10-17
514,1480,7,2025-01-20
515,2698,7,2024-10-12
516,2094,3,2024-11-08
517,7702,1,2024-12-29
518,71,16,2024-08-01
519,3116,10,2024-09-26
520,8069,1,2025-05-25
521,1406,5,2025-11-16
522,3104,6,2026-07-04
523,8298,1,2024-09-09
524,4561,19,2026-04-03
525,1881,15,2025-10-07
526,3646,18,2026-02-22
527,298,3,2025-10-24
528,6489,4,2025-02-03
529,2119,15,2025-02-01
530,7654,5,2026-04-15
531,4562,11,2025-10-28
532,4225,14,2025-02-15
533,7278,13,2025-05-14
534,1247,9,2025-12-16
535,1035,14,2025-07-04
536,8017,16,2026-02-09
537,8810,5,2024-09-03
538,1231,18,2025-04-18
539,1133,3,2024-09-23
540,6974,16,2025-11-06
541,3645,18,2025-05-08
542,5229,10,2025-11-21
543,6025,8,2025-05-22
544,2897,12,2026-02-19
545,819,6,2026-02-01
546,9953,14,2025-05-20
547,2487,19,2026-02-04
548,6710,12,2026-07-01
549,2612,6,2025-08-11
550,7696,15,2026-05-16
551,2255,15,2025-06-05
552,9322,4,2026-04-02
553,280,17,2025-08-02
554,2374,3,2024-07-14
555,366,6,2025-03-13
556,5370,1,2025-11-03
557,788,7,2026-03-12
558,7196,12,2025-05-30
559,1311,15,2024-11-20
